count layer hidden,count neuron,epoc,count data,percentage validation,percentage error training,percentage error validation
1,5,16,500,30.0,0.0020612150146952966,0.00686575782802523
1,5,17,500,30.0,0.0020406663437418236,0.006850396234216754
1,5,18,500,30.0,0.0020206371217013418,0.006835354561826994
1,5,19,500,30.0,0.0020011011221426423,0.006820611943984937
1,5,20,500,30.0,0.00198203438881043,0.006806149784706313
1,5,21,500,30.0,0.0019634149347268607,0.0067919513917897335
1,5,22,500,30.0,0.0019452224953491453,0.006778001686924647
1,5,23,500,30.0,0.0019274383240557524,0.006764286974597343
1,5,24,500,30.0,0.0019100450210802246,0.006750794756038931
1,5,25,500,30.0,0.001893026389116314,0.006737513577896512
1,5,26,500,30.0,0.0018763673103838238,0.00672443290785239
1,5,27,500,30.0,0.0018600536411174252,0.006711543031307796
1,5,28,500,30.0,0.0018440721203248098,0.0066988349646573955
1,5,29,500,30.0,0.0018284102903318232,0.006686300381738776
1,5,0,1000,10.0,0.050495783739947855,0.01927025163883733
1,5,1,1000,10.0,0.03606644235944572,0.019373377662041842
1,5,2,1000,10.0,0.026255907860498237,0.019212188785519353
1,5,3,1000,10.0,0.020392093952183905,0.018795186568659705
1,5,4,1000,10.0,0.01679284025753815,0.01826454269130294
1,5,5,1000,10.0,0.0143780236026878,0.017708279174094815
1,5,6,1000,10.0,0.012634985172708916,0.01716514238047477
1,5,7,1000,10.0,0.011309112881062513,0.016649853097533238
1,5,8,1000,10.0,0.010260742914148108,0.016166704740269194
1,5,9,1000,10.0,0.009406868064919699,0.015715646224525964
1,5,10,1000,10.0,0.008695050460216116,0.0152949136547091
1,5,11,1000,10.0,0.008090523004267025,0.01490216653277666
1,5,12,1000,10.0,0.007569299487294438,0.014534975574637824
1,5,13,1000,10.0,0.007114267732278002,0.014191025236905559
1,5,14,1000,10.0,0.006712864913314377,0.01386818909488439
1,5,15,1000,10.0,0.006355637356660369,0.013564548510114266
1,5,16,1000,10.0,0.006035316785905652,0.013278386619818776
1,5,17,1000,10.0,0.00574620952369229,0.013008172420003178
1,5,18,1000,10.0,0.005483781584250915,0.012752541766375634
1,5,19,1000,10.0,0.005244369952076103,0.012510278385008289
1,5,20,1000,10.0,0.005024977263414473,0.012280296209801048
1,5,21,1000,10.0,0.004823122908686628,0.01206162351830387
1,5,22,1000,10.0,0.004636733117193952,0.011853388940954173
1,5,23,1000,10.0,0.004464058499199002,0.011654809241602317
1,5,24,1000,10.0,0.004303611271740121,0.011465178697307976
1,5,25,1000,10.0,0.0041541168255371545,0.011283859887319845
1,5,26,1000,10.0,0.004014475897052396,0.011110275707172034
1,5,27,1000,10.0,0.0038837346911780764,0.010943902440055032
1,5,28,1000,10.0,0.0037610610402502736,0.010784263737172027
1,5,29,1000,10.0,0.003645725199788752,0.010630925378365868
1,5,0,1000,20.0,0.0030957866833417405,0.004780190597794984
1,5,1,1000,20.0,0.0029857157776342455,0.004864041449331225
1,5,2,1000,20.0,0.0028980518947142246,0.004922457434899297
1,5,3,1000,20.0,0.0028209882209100693,0.00496105585785642
1,5,4,1000,20.0,0.002750309406395642,0.004985448098867616
1,5,5,1000,20.0,0.002684220773087213,0.004999900000206836
1,5,6,1000,20.0,0.002621821751010304,0.005007431191111256
1,5,7,1000,20.0,0.0025625877474689403,0.005010138235885645
1,5,8,1000,20.0,0.002506170904163645,0.005009475296436102
1,5,9,1000,20.0,0.0024523150892275985,0.005006456801807598
1,5,10,1000,20.0,0.0024008164964423604,0.005001796050201982
1,5,11,1000,20.0,0.002351504094198494,0.004995998658514212
1,5,12,1000,20.0,0.0023042292998973445,0.004989425659059305
1,5,13,1000,20.0,0.0022588601667415864,0.004982336436564182
1,5,14,1000,20.0,0.002215277876243562,0.004974918244660102
1,5,15,1000,20.0,0.002173374460268802,0.004967306713100407
1,5,16,1000,20.0,0.0021330512099848103,0.004959600241999861
1,5,17,1000,20.0,0.002094217489599832,0.004951870201605665
1,5,18,1000,20.0,0.002056789803472083,0.0049441682226208815
1,5,19,1000,20.0,0.002020691032325705,0.004936531447892739
1,5,20,1000,20.0,0.001985849789633213,0.004928986342318605
1,5,21,1000,20.0,0.0019521998682860884,0.004921551474427935
1,5,22,1000,20.0,0.0019196797582674483,0.004914239558878334
1,5,23,1000,20.0,0.0018882322221402046,0.00490705896402547
1,5,24,1000,20.0,0.0018578039188250682,0.004900014829846548
1,5,25,1000,20.0,0.0018283450684503052,0.004893109900376758
1,5,26,1000,20.0,0.001799809152585957,0.004886345145844604
1,5,27,1000,20.0,0.0017721526452452326,0.004879720229114149
1,5,28,1000,20.0,0.001745334770820879,0.004873233856334446
1,5,29,1000,20.0,0.0017193172857242489,0.004866884041100516
1,5,0,1000,30.0,0.001647025840929209,0.002596165558168503
1,5,1,1000,30.0,0.0016267450030766906,0.002582025713648709
1,5,2,1000,30.0,0.001607320073564411,0.002569056227107045
1,5,3,1000,30.0,0.0015886193120845495,0.002557086114999889
1,5,4,1000,30.0,0.0015705448282934901,0.002545975287733501
1,5,5,1000,30.0,0.0015530227550097984,0.002535607994487537
1,5,6,1000,30.0,0.0015359964355372417,0.0025258878670814757
1,5,7,1000,30.0,0.0015194216555756742,0.002516734126259509
1,5,8,1000,30.0,0.001503263277933686,0.0025080786438854115
1,5,9,1000,30.0,0.0014874928491656848,0.0024998636430501194
1,5,10,1000,30.0,0.0014720868853650875,0.0024920398791643808
1,5,11,1000,30.0,0.0014570256361300063,0.002484565187767701
1,5,12,1000,30.0,0.001442292187489453,0.00247740331492804
1,5,13,1000,30.0,0.0014278718066044434,0.0024705229676307496
1,5,14,1000,30.0,0.0014137514599220056,0.0024638970370880788
1,5,15,1000,30.0,0.0013999194564473722,0.002457501959210806
1,5,16,1000,30.0,0.001386365181743136,0.002451317184814267
1,5,17,1000,30.0,0.0013730788980543009,0.0024453247383118978
1,5,18,1000,30.0,0.0013600515928744634,0.0024395088482900115
1,5,19,1000,30.0,0.0013472748631794507,0.002433855636866553
1,5,20,1000,30.0,0.0013347408260615588,0.002428352857423307
1,5,21,1000,30.0,0.0013224420490108848,0.0024229896723640264
1,5,22,1000,30.0,0.0013103714949021655,0.0024177564641645367
1,5,23,1000,30.0,0.001298522478055057,0.002412644674239829
1,5,24,1000,30.0,0.0012868886286876815,0.0024076466651509584
1,5,25,1000,30.0,0.0012754638637763316,0.002402755602470736
1,5,26,1000,30.0,0.0012642423628425978,0.002397965353263315
1,5,27,1000,30.0,0.0012532185475614102,0.00239327039864909
1,5,28,1000,30.0,0.0012423870643588873,0.0023886657583456717
1,5,29,1000,30.0,0.001231742769372005,0.002384146925417516
1,10,0,100,10.0,21.13574019092556,9.795940693677867
1,10,1,100,10.0,10.700342167318047,7.462376148482619
1,10,2,100,10.0,7.973113326763428,4.901733573251114
1,10,3,100,10.0,5.3009477702869585,3.139895573584023
1,10,4,100,10.0,3.0442239395778956,1.7507500713788826
1,10,5,100,10.0,1.575063286376911,1.0248418717230408
1,10,6,100,10.0,0.9099173817301692,0.7364663412908279
1,10,7,100,10.0,0.6020122023253318,0.598860523648842
1,10,8,100,10.0,0.4377544836976931,0.5157400412812276
1,10,9,100,10.0,0.33889861375414143,0.4576982682930577
1,10,10,100,10.0,0.27377863367080635,0.41398124872662945
1,10,11,100,10.0,0.22798634088998035,0.379659985373093
1,10,12,100,10.0,0.19421047381960796,0.3519965282215868
1,10,13,100,10.0,0.16838424577473618,0.32926092913567034
1,10,14,100,10.0,0.1480737550932492,0.3102759297700854
1,10,15,100,10.0,0.13173596732101714,0.2942053488051709
1,10,16,100,10.0,0.11834685558761078,0.2804385236189634
1,10,17,100,10.0,0.10720123986207038,0.26852009130319276
1,10,18,100,10.0,0.0977984829862681,0.25810455044281255
1,10,19,100,10.0,0.08977394717519424,0.24892572153207806
1,10,20,100,10.0,0.08285618327969621,0.2407756875376275
1,10,21,100,10.0,0.07683925808503067,0.233489982029801
1,10,22,100,10.0,0.07156433418416268,0.22693699565747072
1,10,23,100,10.0,0.06690709355553322,0.22101028536661507
1,10,24,100,10.0,0.0627689581553002,0.21562291371925155
1,10,25,100,10.0,0.05907083972512851,0.21070322889271148
1,10,26,100,10.0,0.05574861171273184,0.2061916809603181
1,10,27,100,10.0,0.0527497769134502,0.20203839303271506
1,10,28,100,10.0,0.0500309800429716,0.19820128882091181
1,10,29,100,10.0,0.04755612690808218,0.19464463495077958
1,10,0,100,20.0,0.05062828218889985,0.02917012231808023
1,10,1,100,20.0,0.04861199767834584,0.028297258202719697
1,10,2,100,20.0,0.04674972222763008,0.027460489707263044
1,10,3,100,20.0,0.04501604955942589,0.02666279230311596
1,10,4,100,20.0,0.04339587031905324,0.025904935300898685
1,10,5,100,20.0,0.04187806225219401,0.02518617504319288
1,10,6,100,20.0,0.040453441016826214,0.02450491649591174
1,10,7,100,20.0,0.039114027102848066,0.023859152984950463
1,10,8,100,20.0,0.03785274188457859,0.02324672796875905
1,10,9,100,20.0,0.03666325091069338,0.02266548218273393
1,10,10,100,20.0,0.03553986192330495,0.02211333215590749
1,10,11,100,20.0,0.03447744654682694,0.021588308934655923
1,10,12,100,20.0,0.033471374889166246,0.02108857417429775
1,10,13,100,20.0,0.03251745903795859,0.020612423607454904
1,10,14,100,20.0,0.03161190366558494,0.020158283679823117
1,10,15,100,20.0,0.030751262699400674,0.019724704688938055
1,10,16,100,20.0,0.029932401278159514,0.019310352336531125
1,10,17,100,20.0,0.02915246233442795,0.018913998776669064
1,10,18,100,20.0,0.028408837220476782,0.018534513759100694
1,10,19,100,20.0,0.027699139861458853,0.018170856185587454
1,10,20,100,20.0,0.027021183981223145,0.01782206623307847
1,10,21,100,20.0,0.02637296300319823,0.017487258102987506
1,10,22,100,20.0,0.025752632280682114,0.017165613402222175
1,10,23,100,20.0,0.025158493357153387,0.016856375132307082
1,10,24,100,20.0,0.02458897999786761,0.016558842248009353
1,10,25,100,20.0,0.02404264576933367,0.016272364740396165
1,10,26,100,20.0,0.023518152973767338,0.01599633919765643
1,10,27,100,20.0,0.02301426277184123,0.015730204798171925
1,10,28,100,20.0,0.022529826349540684,0.01547343969292869
1,10,29,100,20.0,0.02206377700420977,0.01522555773765402
1,10,0,100,30.0,0.01674414204115991,0.02793200028357347
1,10,1,100,30.0,0.015993390274207358,0.02843626106569648
1,10,2,100,30.0,0.015436327086630359,0.02886186968365188
1,10,3,100,30.0,0.015000724121628246,0.02921239587764616
1,10,4,100,30.0,0.014644772284765987,0.029494618674114584
1,10,5,100,30.0,0.014343037628460403,0.029716435595668816
1,10,6,100,30.0,0.014079451509334547,0.02988579784880024
1,10,7,100,30.0,0.013843550389790467,0.030010177120944764
1,10,8,100,30.0,0.01362834493405507,0.030096323102219467
1,10,9,100,30.0,0.013429060092197303,0.030150182979048902
1,10,10,100,30.0,0.013242364936553062,0.030176909817256
1,10,11,100,30.0,0.01306588913454521,0.030180917059171128
1,10,12,100,30.0,0.012897912633323124,0.0301659539407745
1,10,13,100,30.0,0.012737162761430689,0.03013518721305209
1,10,14,100,30.0,0.0125826793848541,0.03009128101155839
1,10,15,100,30.0,0.012433723965708817,0.03003647065691534
1,10,16,100,30.0,0.012289717390866463,0.02997262853428005
1,10,17,100,30.0,0.012150196919280766,0.029901321578735374
1,10,18,100,30.0,0.012014785997616547,0.029823860657881625
1,10,19,100,30.0,0.011883172840956318,0.02974134252992372
1,10,20,100,30.0,0.01175509505160397,0.02965468521637936
1,10,21,100,30.0,0.01163032844293628,0.02956465765865966
1,10,22,100,30.0,0.011508678822892885,0.029471904486631492
1,10,23,100,30.0,0.01138997588226787,0.029376966651189638
1,10,24,100,30.0,0.0112740685952401,0.0292802985833952
1,10,25,100,30.0,0.011160821717430353,0.029182282452168598
1,10,26,100,30.0,0.01105011308850696,0.029083240007409722
1,10,27,100,30.0,0.01094183153044852,0.02898344241883457
1,10,28,100,30.0,0.010835875191167181,0.028883118453803647
1,10,29,100,30.0,0.0107321502243836,0.02878246127988859
1,10,0,500,10.0,0.11430404743806609,0.14867846272898544
1,10,1,500,10.0,0.08289301551830637,0.13604237514565212
1,10,2,500,10.0,0.06449289656140672,0.1254645142891862
1,10,3,500,10.0,0.05228170243453476,0.1175162389672933
1,10,4,500,10.0,0.04371389851442204,0.11149952462586141
1,10,5,500,10.0,0.03743823738198024,0.10679363847824497
1,10,6,500,10.0,0.03267199223955144,0.10299262345912272
1,10,7,500,10.0,0.028940567025750662,0.0998408928113201
1,10,8,500,10.0,0.025944835585073923,0.09717337183942343
1,10,9,500,10.0,0.023489089470085874,0.09487896898531495
1,10,10,500,10.0,0.02144072431357563,0.09287979937858332
1,10,11,500,10.0,0.01970700940890374,0.0911192675019435
1,10,12,500,10.0,0.01822126166684156,0.08955499794185955
1,10,13,500,10.0,0.01693434172144634,0.08815446905384793
1,10,14,500,10.0,0.015809255808495775,0.08689220641122546
1,10,15,500,10.0,0.014817627299421115,0.08574791199935705
1,10,16,500,10.0,0.013937327941415126,0.08470517661911024
1,10,17,500,10.0,0.013150848834736476,0.08375056883877507
1,10,18,500,10.0,0.012444155558346376,0.08287297487624368
1,10,19,500,10.0,0.011805867690879998,0.08206311042465628
1,10,20,500,10.0,0.011226660376918702,0.08131315320261188
1,10,21,500,10.0,0.010698820857414802,0.08061646208768984
1,10,22,500,10.0,0.01021591507256743,0.07996735951190345
1,10,23,500,10.0,0.009772533715872589,0.07936096084008505
1,10,24,500,10.0,0.009364096483558905,0.07879303914840566
1,10,25,500,10.0,0.00898669952603143,0.07825991702058623
1,10,26,500,10.0,0.00863699536822341,0.07775837920307684
1,10,27,500,10.0,0.0083120975104733,0.07728560153267951
1,10,28,500,10.0,0.008009503987087043,0.07683909267904994
1,10,29,500,10.0,0.007727035628456547,0.07641664606675343
1,10,0,500,20.0,0.007354317887616614,0.007775975838431894
1,10,1,500,20.0,0.007130885590921439,0.0077141948168986145
1,10,2,500,20.0,0.006928289922436977,0.007637420014818169
1,10,3,500,20.0,0.0067394159945240485,0.007552897996645141
1,10,4,500,20.0,0.006561593358786324,0.0074648013618169706
1,10,5,500,20.0,0.006393396078918389,0.007375486683328303
1,10,6,500,20.0,0.0062338446182896076,0.007286296583275326
1,10,7,500,20.0,0.0060821700304584565,0.007198006896802778
1,10,8,500,20.0,0.005937729259702862,0.00711107020561468
1,10,9,500,20.0,0.005799967372016398,0.007025749752112241
1,10,10,500,20.0,0.005668396916844482,0.0069421946990675535
1,10,11,500,20.0,0.005542584762301426,0.006860483568710031
1,10,12,500,20.0,0.005422142812014312,0.006780650041900313
1,10,13,500,20.0,0.0053067210473413656,0.006702698732604445
1,10,14,500,20.0,0.005196002109092502,0.0066266151140146915
1,10,15,500,20.0,0.005089696966423472,0.006552371940025943
1,10,16,500,20.0,0.004987541386300851,0.006479933508977897
1,10,17,500,20.0,0.0048892930098761115,0.006409258562605256
1,10,18,500,20.0,0.004794728899245929,0.006340302298494752
1,10,19,500,20.0,0.0047036434554853694,0.006273017791702146
1,10,20,500,20.0,0.004615846634380992,0.006207357012833003
1,10,21,500,20.0,0.00453116240423569,0.006143271564196438
1,10,22,500,20.0,0.004449427402997175,0.006080713214923881
1,10,23,500,20.0,0.004370489761368725,0.00601963429014176
1,10,24,500,20.0,0.004294208065537486,0.0059599879525650485
1,10,25,500,20.0,0.004220450438403384,0.005901728403795585
1,10,26,500,20.0,0.004149093722192768,0.005844811025100413
1,10,27,500,20.0,0.004080022748430813,0.005789192472246015
1,10,28,500,20.0,0.004013129683663084,0.005734830735292959
1,10,29,500,20.0,0.003948313441228213,0.005681685171608716
1,10,0,500,30.0,0.0026532067913810097,0.0063648209082268845
1,10,1,500,30.0,0.0026031715175017568,0.006358340335128174
1,10,2,500,30.0,0.0025566480501511128,0.006354349834490901
1,10,3,500,30.0,0.0025130786284104545,0.0063521768424200506
1,10,4,500,30.0,0.0024720452959824165,0.0063513369112816786
1,10,5,500,30.0,0.002433225634304972,0.006351475739612671
1,10,6,500,30.0,0.0023963643546372946,0.006352330699094481
1,10,7,500,30.0,0.0023612546134250197,0.0063537047947064855
1,10,8,500,30.0,0.0023277254294301465,0.006355448722208321
1,10,9,500,30.0,0.0022956330136638856,0.0063574483009739965
1,10,10,500,30.0,0.0022648546604319675,0.006359615538354607
1,10,11,500,30.0,0.0022352843482425595,0.006361882187535053
1,10,12,500,30.0,0.0022068295045112175,0.006364195043407422
1,10,13,500,30.0,0.002179408577554814,0.0063665124669225635
1,10,14,500,30.0,0.002152949179127405,0.006368801789119093
1,10,15,500,30.0,0.0021273866376426494,0.006371037352717538
1,10,16,500,30.0,0.002102662852361,0.006373199021010764
1,10,17,500,30.0,0.002078725371999353,0.006375271032830499
1,10,18,500,30.0,0.0020555266435033307,0.006377241116290912
1,10,19,500,30.0,0.0020330233919041317,0.006379099797759542
1,10,20,500,30.0,0.0020111761026749466,0.006380839859328724
1,10,21,500,30.0,0.001989948585357501,0.006382455910107539
1,10,22,500,30.0,0.001969307602459535,0.006383944045372034
1,10,23,500,30.0,0.0019492225513940448,0.006385301573980802
1,10,24,500,30.0,0.0019296651899871455,0.006386526799159525
1,10,25,500,30.0,0.0019106093981229215,0.006387618841251623
1,10,26,500,30.0,0.0018920309696256932,0.006388577493648831
1,10,27,500,30.0,0.0018739074296447427,0.0063894031050938166
1,10,28,500,30.0,0.0018562178737024264,0.00639009648304895
1,10,29,500,30.0,0.001838942825263746,0.006390658813975456
1,10,0,1000,10.0,0.033964169484374356,0.006688721160523954
1,10,1,1000,10.0,0.023168171620712993,0.006615605652153525
1,10,2,1000,10.0,0.0174836756066078,0.006531300470476992
1,10,3,1000,10.0,0.01440962875367792,0.006392707139490707
1,10,4,1000,10.0,0.012439281697076823,0.006223141196200345
1,10,5,1000,10.0,0.01102979991482661,0.006042169853339097
